万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688001.SH,688001,20220812,91503600,0,46297,A,S,400000,5000
688001.SH,688001,20220812,91503650,0,46700,A,B,351100,200
688001.SH,688001,20220812,91503700,0,47057,A,S,414900,897
688001.SH,688001,20220812,91503770,0,47570,A,B,367000,200
688001.SH,688001,20220812,91503790,0,47673,A,B,340600,200
688001.SH,688001,20220812,91503840,0,48052,A,S,385000,200
688001.SH,688001,20220812,91503840,0,48053,A,S,416500,200
688001.SH,688001,20220812,91503840,0,48054,A,S,450000,200
688001.SH,688001,20220812,91503840,0,48055,A,S,443000,200
688001.SH,688001,20220812,91503890,0,48406,A,S,410200,3962
688001.SH,688001,20220812,91503910,0,48520,A,B,337000,200
688001.SH,688001,20220812,91503910,0,48583,A,S,424100,200
688001.SH,688001,20220812,91504000,0,49022,A,S,449900,100
688001.SH,688001,20220812,91504030,0,49271,A,B,365600,500
688001.SH,688001,20220812,91504080,0,49537,A,S,450200,4900
688001.SH,688001,20220812,91504160,0,49879,A,B,328600,250
688001.SH,688001,20220812,91504240,0,50158,A,S,450000,300
688001.SH,688001,20220812,91504240,0,50159,A,S,410000,200
688001.SH,688001,20220812,91504240,0,50206,A,B,323500,250
688001.SH,688001,20220812,91504270,0,50384,A,S,380000,444
688001.SH,688001,20220812,91504580,0,52134,A,S,383300,200
688001.SH,688001,20220812,91504610,0,52222,A,S,403000,1000
688001.SH,688001,20220812,91504610,0,52223,A,S,417000,1000
688001.SH,688001,20220812,91504610,0,52224,A,S,425000,1400
688001.SH,688001,20220812,91504610,0,52245,A,S,450000,500
688001.SH,688001,20220812,91504710,0,52882,A,S,387300,200
688001.SH,688001,20220812,91504710,0,52883,A,S,389300,200
688001.SH,688001,20220812,91504710,0,52884,A,S,393300,200
688001.SH,688001,20220812,91504710,0,52885,A,S,397300,200
688001.SH,688001,20220812,91504710,0,52886,A,S,399300,200
688001.SH,688001,20220812,91504710,0,52887,A,S,403300,200
688001.SH,688001,20220812,91504710,0,52888,A,S,407300,200
688001.SH,688001,20220812,91504710,0,52889,A,S,409300,200
688001.SH,688001,20220812,91504710,0,52890,A,S,413300,200
688001.SH,688001,20220812,91504760,0,53277,A,B,350000,600
688001.SH,688001,20220812,91504780,0,53449,A,B,320000,200
688001.SH,688001,20220812,91504830,0,53681,A,S,417300,200
688001.SH,688001,20220812,91504830,0,53682,A,S,419300,200
688001.SH,688001,20220812,91504830,0,53683,A,S,423300,200
688001.SH,688001,20220812,91504830,0,53684,A,S,427300,200
688001.SH,688001,20220812,91504830,0,53685,A,S,429300,200
688001.SH,688001,20220812,91504830,0,53686,A,S,433300,200
688001.SH,688001,20220812,91504830,0,53688,A,S,437300,200
688001.SH,688001,20220812,91504830,0,53689,A,S,439300,200
688001.SH,688001,20220812,91504830,0,53690,A,S,443300,200
688001.SH,688001,20220812,91504830,0,53691,A,S,447300,200
688001.SH,688001,20220812,91504830,0,53692,A,S,449300,200
688001.SH,688001,20220812,91504910,0,54218,A,S,410000,600
688001.SH,688001,20220812,91505450,0,57452,A,S,379900,500
688001.SH,688001,20220812,91505450,0,57453,A,S,389900,500
688001.SH,688001,20220812,91505450,0,57454,A,S,399900,500
688001.SH,688001,20220812,91505450,0,57455,A,S,409900,500
688001.SH,688001,20220812,91505450,0,57462,A,S,419900,500
688001.SH,688001,20220812,91505450,0,57463,A,S,429900,500
688001.SH,688001,20220812,91505540,0,57814,A,S,400500,600
688001.SH,688001,20220812,91505540,0,57815,A,S,415000,600
688001.SH,688001,20220812,91505540,0,57816,A,S,428000,600
688001.SH,688001,20220812,91505580,0,58102,A,S,439900,500
688001.SH,688001,20220812,91505580,0,58106,A,S,449900,500
688001.SH,688001,20220812,91505580,0,58111,A,B,360100,500
688001.SH,688001,20220812,91505620,0,58376,A,B,371800,200
688001.SH,688001,20220812,91505650,0,58502,A,B,350100,500
688001.SH,688001,20220812,91506170,0,61257,A,B,370800,3000
688001.SH,688001,20220812,91506450,0,62559,A,B,365000,2000
688001.SH,688001,20220812,91506470,0,62608,A,S,410000,4500
688001.SH,688001,20220812,91506500,0,62744,A,S,405000,500
688001.SH,688001,20220812,91506570,0,63147,A,B,355000,1779
688001.SH,688001,20220812,91506640,0,63374,A,S,415000,500
688001.SH,688001,20220812,91506640,0,63406,A,S,435000,500
688001.SH,688001,20220812,91506770,0,64043,A,S,384800,200
688001.SH,688001,20220812,91507030,0,65429,A,S,389000,500
688001.SH,688001,20220812,91507030,0,65430,A,S,390000,500
688001.SH,688001,20220812,91507110,0,65723,A,S,395000,500
688001.SH,688001,20220812,91507160,0,66013,A,S,400000,2000
688001.SH,688001,20220812,91507210,0,66361,A,S,445000,2700
688001.SH,688001,20220812,91507350,0,66795,A,S,392000,500
688001.SH,688001,20220812,91507720,0,68449,A,S,390000,500
688001.SH,688001,20220812,91507720,0,68450,A,S,385000,500
688001.SH,688001,20220812,91507750,0,68604,A,S,396800,200
688001.SH,688001,20220812,91507950,0,69434,A,S,450000,200
688001.SH,688001,20220812,91507980,0,69456,A,S,388700,790
688001.SH,688001,20220812,91507980,0,69494,A,S,400000,3000
688001.SH,688001,20220812,91508210,0,70574,A,B,373000,200
688001.SH,688001,20220812,91508340,0,71050,A,S,450200,2200
688001.SH,688001,20220812,91508450,0,71585,A,S,448800,40000
688001.SH,688001,20220812,91508610,0,72118,A,S,418800,100
688001.SH,688001,20220812,91508940,0,73383,A,S,395200,2000
688001.SH,688001,20220812,91508970,0,73545,A,S,450000,959
688001.SH,688001,20220812,91509310,0,74858,A,S,450200,300
688001.SH,688001,20220812,91509350,0,74922,A,S,389300,4600
688001.SH,688001,20220812,91509530,0,75613,A,S,406300,200
688001.SH,688001,20220812,91511010,0,79564,A,S,425000,600
